date,hvs,hvs_g,gvs,gvs_g,ele,ele_g
24.09.2015,"248.026",0,"127.901",0,"39501.15",0
24.10.2015,"252.666","4.64","137.83","9.929","39611.3","110.15"
24.11.2015,"261.917","9.251","147.49","9.66","39782.6","171.3"
24.12.2015,"265.408","3.491","157.01","9.52","39943.8","161.2"
24.01.2016,"282.43","17.022","169.34","12.33","40123.6","179.8"
24.02.2016,"318.754","36.324","181.531","12.191","40291.5","167.9"
24.03.2016,"325.243","6.489","190.095","8.564","40440.7","149.2"
24.04.2016,"332.374","7.131","199.228","9.133","40597.6","156.9"
24.05.2016,"338.664","6.29","208.3","9.072","40781.5","183.9"
24.06.2016,"347.057","8.393","216.674","8.374","40920.3","138.8"
24.07.2016,"350.991","3.934","220.044","3.37","40983.39","63.09"
24.08.2016,"361.939","10.948","224.975","4.931","41152.2","168.81"
24.09.2016,"366.187","4.248","231.038","6.063","41396.1","243.9"
20.10.2016,"370.358","4.171","236.585","5.547","41531.1",135
24.11.2016,"374.377","4.019","245.135","8.55","41721.2","190.1"
24.12.2016,"378.013","3.636","252.613","7.478","41872.4","151.2"
24.01.2017,"381.919","3.906","259.596","6.983",42014,"141.6"
24.02.2017,"384.982","3.063","264.92","5.324","42182.7","168.7"
23.03.2017,"387.956","2.974","269.641","4.721","42329.8","147.1"
24.04.2017,"390.944","2.988","275.125","5.484","42497.2","167.4"
24.05.2017,"394.846","3.902","280.461","5.336","42651.6","154.4"
22.06.2017,"398.185","3.339","285.68","5.219","42813.6",162
24.07.2017,"401.952","3.767","291.758","6.078","42969.1","155.5"
24.08.2017,"405.657","3.705","296.823","5.065","43121.7","152.6"
23.09.2017,"409.579","3.922","303.798","6.975","43338.1","216.4"
24.10.2017,"412.674","3.095","309.579","5.781","43500.8","162.7"
22.11.2017,"415.049","2.375","315.035","5.456","43652.8",152
24.12.2017,"417.792","2.743","322.606","7.571","43818.4","165.6"
24.01.2018,"421.213","3.421","329.632","7.026","43980.3","161.9"
24.02.2018,"424.189","2.976","335.359","5.727","44141.6","161.3"
24.03.0218,"427.337","3.148","341.251","5.892","44296.7","155.1"
24.04.0218,"431.113","3.776","349.35","8.099","44468.5","171.8"
24.05.0218,"434.365","3.252","355.74","6.39","44596.5",128
24.06.0218,"437.687","3.322","364.056","8.316","44822.2","225.7"
24.07.0218,"441.463","3.776","370.051","5.995","44955.2",133
23.08.0218,"445.894","4.431","375.432","5.381","45077.4","122.2"
24.09.0218,"449.747","3.853","382.35","6.918",45220,"142.6"
24.10.2018,"453.787","4.04","389.22","6.87","45350.6","130.6"
22.11.2018,"457.598","3.811","395.29","6.07","45485.5","134.9"
24.12.2018,"461.407","3.809","401.823","6.533","45626.5",141
24.01.2019,"464.97","3.563","409.147","7.324","45784.3","157.8"
24.02.2019,"469.23","4.26","418.94","9.793","45936.5","152.2"
22.03.2019,"473.58","4.35","428.14","9.2","46058.1","121.6"
23.04.2019,"478.374","4.794","438.206","10.066","46216.8","158.7"
23.05.2019,"481.99","3.616","449.283","11.077","46389.8",173
23.06.2019,"485.593","3.603","457.39","8.107","46548.1","158.3"
23.08.2019,"492.274","6.681","469.835","12.445","46783.2","235.1"
22.09.2019,"495.586","3.312","480.165","10.33",46933,"149.8"
22.10.2019,"498.212","2.626","488.12","7.955","47076.7","143.7"
22.11.2019,"501.45","3.238","497.057","8.937","47241.9","165.2"
22.12.2019,"505.218","3.768","506.441","9.384",47392,"150.1"
22.01.2020,"508.23","3.012","514.46","8.019","47542.2","150.2"
22.02.2020,"511.854","3.624","523.73","9.27","47690.3","148.1"
22.03.2020,"514.503","2.649","533.586","9.856","47823.3",133
21.04.2020,"518.1","3.597","544.34","10.754","48009.5","186.2"
21.05.2020,"521.26","3.16","556.88","12.54","48212.9","203.4"
22.06.2020,"524.985","3.725","569.19","12.31","48362.2","149.3"
22.07.2020,"529.2","4.215","581.36","12.17","48519.5","157.3"
22.08.2020,"533.4","4.2","587.94","6.58","48696.3","176.8"
22.09.2020,"536.64","3.24","596.1","8.16","48881.5","185.2"
22.10.2020,"539.925","3.285","604.196","8.096","49038.6","157.1"
